DATE,FAVORITE,SPREAD,UNDERDOG,TOTAL,AWAY MONEY LINE,HOME MONEY LINE,WEEK
10/17/2021 13:00,Bengals,-3.5,at Lions,46.5,-190,159,6
10/17/2021 13:00,at Colts,-11.5,Texans,44.5,420,-565,6
10/17/2021 13:00,Rams,-7.5,at Giants,49,-384,300,6
10/17/2021 13:00,Chiefs,-6.5,at Football Team,54,-291,236,6
10/17/2021 13:00,Vikings,-2,at Panthers,45.5,-132,112,6
10/17/2021 13:00,at Ravens,-3,Chargers,51,135,-160,6
10/14/2021 20:20,Buccaneers,-7,at Eagles,52.5,-305,247,6
10/25/2021 20:15,Saints,-5.5,at Seahawks,41.5,-230,191,7
10/24/2021 20:20,at 49ers,-3.5,Colts,41.5,145,-176,7
10/24/2021 16:25,at Cardinals,-19.5,Texans,47.5,1125,-2228,7
10/24/2021 16:25,at Buccaneers,-12,Bears,47,477,-652,7
10/24/2021 16:05,at Raiders,-0.5,Eagles,48,-107,-113,7
10/24/2021 16:05,at Rams,-16.5,Lions,50.5,786,-1253,7
10/24/2021 13:00,at Packers,-8.5,Football Team,48,328,-427,7
10/24/2021 13:00,Chiefs,-4,at Titans,58.5,-200,167,7
10/24/2021 13:00,Falcons,-1.5,at Dolphins,48,-127,106,7
10/24/2021 13:00,at Patriots,-7,Jets,42.5,262,-330,7
10/24/2021 13:00,Panthers,-3,at Giants,43,-152,129,7
10/24/2021 13:00,at Ravens,-6.5,Bengals,45.5,223,-276,7
10/21/2021 20:20,at Browns,-1.5,Broncos,40.5,106,-125,7
10/28/2021 20:20,at Cardinals,-6,Packers,50.5,223,-274,8
10/31/2021 13:00,at Falcons,-3,Panthers,47,142,-169,8
10/31/2021 13:00,at Bills,-14,Dolphins,48.5,622,-915,8
10/31/2021 13:00,49ers,-4,at Bears,39.5,-203,171,8
10/31/2021 13:00,at Browns,-3.5,Steelers,42,162,-193,8
10/31/2021 13:00,Eagles,-3.5,at Lions,48,-181,151,8
10/31/2021 13:00,at Colts,-2.5,Titans,50.5,117,-138,8
10/31/2021 13:00,Bengals,-10,at Jets,43,-535,393,8
10/31/2021 13:00,Rams,-14.5,at Texans,47.5,-980,640,8
10/31/2021 16:05,at Chargers,-4.5,Patriots,49,179,-220,8
10/31/2021 16:05,at Seahawks,-3.5,Jaguars,44,144,-174,8
10/31/2021 16:25,at Broncos,-3,Football Team,44.5,135,-161,8
10/31/2021 16:25,Buccaneers,-5,at Saints,50,-224,185,8
10/31/2021 20:20,at Vikings,-2.5,Cowboys,54,113,-133,8
11/1/2021 20:15,at Chiefs,-9.5,Giants,52,335,-429,8
,,,,,,,
